id	assetCode	windowTimestamp	dataType	systemVersion	buzz	relativeBuzz	sentiment	optimism	fear	joy	trust	violence	conflict	gloom	stress	timeUrgency	uncertainty	emotionVsFact	longShort	longShortForecast	priceDirection	priceForecast	volatility	consumptionVolume	productionVolume	regulatoryIssues	supplyVsDemand	supplyVsDemandForecast	newExploration	safetyAccident
mp:2019-02-01_20.30.00.News_Social.COM_ENM.ALU	ALU	2019-02-01T20:30:00.000Z	News_Social	2.2.35	1740.1	0.036275	-0.230734	-0.045400	0.012356	0.002299	0.001437	0.023849	0.037067	0.037067	0.043388	-0.024711	0.009195	0.152419	0.000575		-0.000575	-0.001149	0.028791	0.000575	-0.035630		0.029883	0.001149	0.001149	
mp:2019-02-01_20.30.00.News.COM_ENM.ALU	ALU	2019-02-01T20:30:00.000Z	News	2.2.35	1438.4	0.043487	-0.255492	-0.058746	0.012514	0.002781	0.001217	0.017380	0.030937	0.045189	0.046580	-0.033370	0.009385	0.147403	-0.000695		-0.001390	-0.001390	0.027044	0.000695	-0.043799		0.036151	0.001390	0.000695	
mp:2019-02-01_20.30.00.Social.COM_ENM.ALU	ALU	2019-02-01T20:30:00.000Z	Social	2.2.35	301.7	0.020258	-0.112695	0.018230	0.011601		0.002486	0.054690	0.066291	-0.001657	0.028174	0.016573	0.008286	0.176334	0.006629		0.003315		0.037123		0.003315				0.003315	
mp:2019-02-01_20.30.00.News_Social.COM_ENM.BIOF	BIOF	2019-02-01T20:30:00.000Z	News_Social	2.2.35	119.0	0.002481	0.092437	-0.033613			0.023109			0.008403	0.168067	0.008403	0.016807	0.132353	-0.075630	-0.025210	-0.016807		0.016807		-0.008403		0.058824	-0.008403	0.008403	
mp:2019-02-01_20.30.00.News.COM_ENM.BIOF	BIOF	2019-02-01T20:30:00.000Z	News	2.2.35	99.0	0.002993	0.171717	0.010101			0.027778				0.171717	0.000000	0.020202	0.116162	-0.090909	-0.030303	-0.020202		0.010101		-0.020202		0.070707	-0.010101		
mp:2019-02-01_20.30.00.Social.COM_ENM.BIOF	BIOF	2019-02-01T20:30:00.000Z	Social	2.2.35	20.0	0.001343	-0.300000	-0.250000						0.050000	0.150000	0.050000		0.212500					0.050000		0.050000				0.050000	
mp:2019-02-01_20.30.00.News_Social.COM_ENM.COA	COA	2019-02-01T20:30:00.000Z	News_Social	2.2.35	3517.9	0.073337	-0.174394	-0.015634	0.007675	0.003695	0.000213	0.027289	0.015776	0.017340	0.084283	-0.013787	0.013787	0.146437	-0.001706	-0.002416	0.004975	-0.000284	0.021291	-0.002985	0.013645	0.001706	-0.020182	0.000142	0.009665	0.012507
mp:2019-02-01_20.30.00.News.COM_ENM.COA	COA	2019-02-01T20:30:00.000Z	News	2.2.35	2843.2	0.085959	-0.169879	-0.019696	0.006331	0.002814	-0.000352	0.021455	0.014420	0.016003	0.083181	-0.015651	0.013893	0.147967	-0.000528	-0.001934	0.005803	-0.000352	0.018535	-0.004396	0.019696	0.001759	-0.020927	0.000703	0.011958	0.013717
mp:2019-02-01_20.30.00.Social.COM_ENM.COA	COA	2019-02-01T20:30:00.000Z	Social	2.2.35	674.7	0.045303	-0.193419	0.001482	0.013339	0.007411	0.002594	0.051875	0.021491	0.022973	0.088928	-0.005929	0.013339	0.139988	-0.006670	-0.004446	0.001482		0.032904	0.002964	-0.011857	0.001482	-0.017045	-0.002223		0.007411
mp:2019-02-01_20.30.00.News_Social.COM_ENM.CPPR	CPPR	2019-02-01T20:30:00.000Z	News_Social	2.2.35	1683.2	0.035089	-0.091789	0.015447	0.004753	0.004753	0.002376	0.022873	0.027032	0.016932	0.048717	0.002079	0.012476	0.120767	-0.002673		0.000594	0.000594	0.047469	0.001782	0.051390		-0.005941	-0.002376	0.003268	
