amerTimestamp	apacTimestamp	emeaTimestamp	id	dataType	feedFamilyCode	headline	language	altId	feedTimestamp	isArchive	audiences	firstCreated	instancesOf	takeSequence	provider	sourceId	sourceTimestamp	subjects	urgency	bodySize	companyCount	exchangeAction	headlineTag	marketCommentary	sentenceCount	wordCount	systemVersion
2019-01-02T00:08:16.296Z	2019-01-02T00:08:16.319Z	2019-01-02T00:08:16.218Z	tr:ASX46g3vf_1901022tMno+9CwTiElKxeuWPxEdtOyTiQtlUEXpqAgw	News	tr	Lapse of Unlisted Options-NML.AX	en	nASX46g3vf	2019-01-02T00:08:15.977Z	True	NP:ASX NP:ASXN	2019-01-02T00:08:15.793Z		1	NS:ASX	ASX46g3vf_1901022tMno+9CwTiElKxeuWPxEdtOyTiQtlUEXpqAgw	2019-01-02T00:08:15.793Z	B:1085 B:12 B:19 B:20 B:227 B:228 B:229 B:24 E:1 E:5C E:K G:2H G:5 G:K M:1QD M:32 M:3H M:B6 M:NU M:Z R:NML.AX N2:ASIA N2:AU N2:AUNZ N2:BACT N2:BMAT N2:BMAT08 N2:CMPNY N2:DIVMIN N2:FINE1 N2:LEN N2:MEMI N2:MIN N2:MINE N2:MINE08 N2:MTAL N2:MTAL08 N2:MTPDF N2:NEWR N2:REG N2:SISU P:5001631864	3	107	0	UNDEFINED		False	2	8	TS:40060100
2019-01-02T00:08:16.468Z	2019-01-02T00:08:16.506Z	2019-01-02T00:08:16.422Z	tr:ASX3JMdvg_1901022kjpSPpR1ono4lhfFC+SuKV7/J+6VND/1JWId6	News	tr	Lapse of Unlisted Options-NML.AX	en	nASX3JMdvg	2019-01-02T00:08:16.112Z	True	NP:ASX NP:ASXN	2019-01-02T00:08:15.801Z		1	NS:ASX	ASX3JMdvg_1901022kjpSPpR1ono4lhfFC+SuKV7/J+6VND/1JWId6	2019-01-02T00:08:15.801Z	B:1085 B:12 B:19 B:20 B:227 B:228 B:229 B:24 E:1 E:5C E:K G:2H G:5 G:K M:1QD M:32 M:3H M:B6 M:NU M:Z R:NML.AX N2:ASIA N2:AU N2:AUNZ N2:BACT N2:BMAT N2:BMAT08 N2:CMPNY N2:DIVMIN N2:FINE1 N2:LEN N2:MEMI N2:MIN N2:MINE N2:MINE08 N2:MTAL N2:MTAL08 N2:MTPDF N2:NEWR N2:REG N2:SISU P:5001631864	3	4090	0	UNDEFINED		False	11	345	TS:40060100
2019-01-02T00:14:08.640Z	2019-01-02T00:14:08.714Z	2019-01-02T00:14:08.620Z	tr:ASX52DPpS_1901022dj8BBw+4BiNUUwV0FviBw2rO+vHYylxtbqX8r	News	tr	2018 - A Year of Consolidation and Achievement-WKT.AX	en	nASX52DPpS	2019-01-02T00:14:08.336Z	True	NP:ASX NP:ASXN	2019-01-02T00:14:08.229Z		1	NS:ASX	ASX52DPpS_1901022dj8BBw+4BiNUUwV0FviBw2rO+vHYylxtbqX8r	2019-01-02T00:14:08.229Z	B:1085 B:12 B:19 B:20 B:227 B:228 B:229 B:24 E:1 E:4D G:2H G:5 G:K M:1QD M:32 M:3H M:B6 M:NU M:Z R:WKT.AX N2:ASIA N2:AU N2:AUNZ N2:BACT N2:BMAT N2:BMAT08 N2:CMPNY N2:DIVMIN N2:LEN N2:MEET1 N2:MEMI N2:MIN N2:MINE N2:MINE08 N2:MTAL N2:MTAL08 N2:MTPDF N2:NEWR N2:REG P:4295856469	3	107	1	UNDEFINED		False	2	12	TS:40060100
2019-01-02T00:14:08.858Z	2019-01-02T00:14:08.902Z	2019-01-02T00:14:08.807Z	tr:ASX4gkflQ_1901022VEU4Cn5M7k4oUqvYw9y5grQJ2tkxQjktYGnLD	News	tr	2018 - A Year of Consolidation and Achievement-WKT.AX	en	nASX4gkflQ	2019-01-02T00:14:08.369Z	True	NP:ASX NP:ASXN	2019-01-02T00:14:08.235Z		1	NS:ASX	ASX4gkflQ_1901022VEU4Cn5M7k4oUqvYw9y5grQJ2tkxQjktYGnLD	2019-01-02T00:14:08.235Z	B:1085 B:12 B:19 B:20 B:227 B:228 B:229 B:24 E:1 E:4D G:2H G:5 G:K M:1QD M:32 M:3H M:B6 M:NU M:Z R:WKT.AX N2:ASIA N2:AU N2:AUNZ N2:BACT N2:BMAT N2:BMAT08 N2:CMPNY N2:DIVMIN N2:LEN N2:MEET1 N2:MEMI N2:MIN N2:MINE N2:MINE08 N2:MTAL N2:MTAL08 N2:MTPDF N2:NEWR N2:REG P:4295856469	3	6030	1	UNDEFINED		False	55	997	TS:40060100
2019-01-02T00:18:23.968Z	2019-01-02T00:18:24.030Z	2019-01-02T00:18:23.932Z	tr:ASXvWHz9__1901022OziqWIz5qfeqS7Zq8NYIT7vAGAEATCI9yaaug	News	tr	Change of Director's Interest Notice - Dr Wanfu Huang-COY.AX	en	nASXvWHz9	2019-01-02T00:18:23.638Z	True	NP:ASX NP:ASXN	2019-01-02T00:18:23.544Z		1	NS:ASX	ASXvWHz9__1901022OziqWIz5qfeqS7Zq8NYIT7vAGAEATCI9yaaug	2019-01-02T00:18:23.544Z	B:1085 B:12 B:19 B:20 B:227 B:228 B:229 B:24 E:1 E:5A E:R G:2H G:5 G:K M:1QD M:32 M:3H M:B6 M:NU M:Z R:COY.AX N2:ASIA N2:AU N2:AUNZ N2:BACT N2:BMAT N2:BMAT08 N2:CMPNY N2:DEAL1 N2:DIVMIN N2:LEN N2:MEMI N2:MIN N2:MINE N2:MINE08 N2:MTAL N2:MTAL08 N2:MTPDF N2:NEWR N2:REG N2:STK P:4295857337	3	107	1	UNDEFINED		False	2	13	TS:40060100
2019-01-02T00:18:24.171Z	2019-01-02T00:18:24.233Z	2019-01-02T00:18:24.136Z	tr:ASX7Ph81D_1901022PntTom11Y3ec1eWCqNSM0BNCUohag/iNckiTl	News	tr	Change of Director's Interest Notice - Dr Wanfu Huang-COY.AX	en	nASX7Ph81D	2019-01-02T00:18:23.732Z	True	NP:ASX NP:ASXN	2019-01-02T00:18:23.551Z		1	NS:ASX	ASX7Ph81D_1901022PntTom11Y3ec1eWCqNSM0BNCUohag/iNckiTl	2019-01-02T00:18:23.551Z	B:1085 B:12 B:19 B:20 B:227 B:228 B:229 B:24 E:1 E:5A E:R G:2H G:5 G:K M:1QD M:32 M:3H M:B6 M:NU M:Z R:COY.AX N2:ASIA N2:AU N2:AUNZ N2:BACT N2:BMAT N2:BMAT08 N2:CMPNY N2:DEAL1 N2:DIVMIN N2:LEN N2:MEMI N2:MIN N2:MINE N2:MINE08 N2:MTAL N2:MTAL08 N2:MTPDF N2:NEWR N2:REG N2:STK P:4295857337	3	5634	1	UNDEFINED		False	48	575	TS:40060100
2019-01-02T00:20:59.514Z	2019-01-02T00:20:59.548Z	2019-01-02T00:20:59.449Z	tr:ASX7J3P2m_19010228RUnuuej7FODWL/SJrcTG4oWQLHkyzuB2uaOR	News	tr	Change of Director's Interest Notice - Mr Kevin Grice-COY.AX	en	nASX7J3P2m	2019-01-02T00:20:59.159Z	True	NP:ASX NP:ASXN	2019-01-02T00:20:59.040Z		1	NS:ASX	ASX7J3P2m_19010228RUnuuej7FODWL/SJrcTG4oWQLHkyzuB2uaOR	2019-01-02T00:20:59.040Z	B:1085 B:12 B:19 B:20 B:227 B:228 B:229 B:24 E:1 E:5A E:R G:2H G:5 G:K M:1QD M:32 M:3H M:B6 M:NU M:Z R:COY.AX N2:ASIA N2:AU N2:AUNZ N2:BACT N2:BMAT N2:BMAT08 N2:CMPNY N2:DEAL1 N2:DIVMIN N2:LEN N2:MEMI N2:MIN N2:MINE N2:MINE08 N2:MTAL N2:MTAL08 N2:MTPDF N2:NEWR N2:REG N2:STK P:4295857337	3	107	1	UNDEFINED		False	2	13	TS:40060100
2019-01-02T00:20:59.686Z	2019-01-02T00:20:59.735Z	2019-01-02T00:20:59.651Z	tr:ASX5lY6fs_1901022LcRp4EfflgK+6YIDEMSHnMCMRKfz5m33ke3NP	News	tr	Change of Director's Interest Notice - Mr Kevin Grice-COY.AX	en	nASX5lY6fs	2019-01-02T00:20:59.225Z	True	NP:ASX NP:ASXN	2019-01-02T00:20:59.047Z		1	NS:ASX	ASX5lY6fs_1901022LcRp4EfflgK+6YIDEMSHnMCMRKfz5m33ke3NP	2019-01-02T00:20:59.047Z	B:1085 B:12 B:19 B:20 B:227 B:228 B:229 B:24 E:1 E:5A E:R G:2H G:5 G:K M:1QD M:32 M:3H M:B6 M:NU M:Z R:COY.AX N2:ASIA N2:AU N2:AUNZ N2:BACT N2:BMAT N2:BMAT08 N2:CMPNY N2:DEAL1 N2:DIVMIN N2:LEN N2:MEMI N2:MIN N2:MINE N2:MINE08 N2:MTAL N2:MTAL08 N2:MTPDF N2:NEWR N2:REG N2:STK P:4295857337	3	4756	1	UNDEFINED		False	47	556	TS:40060100
2019-01-02T00:22:13.530Z	2019-01-02T00:22:13.580Z	2019-01-02T00:22:13.464Z	tr:ASX67ZmL2_1901022ga5GHYUNsaTf5RocBmnqzVfkdGbBSAra856Si	News	tr	Total Voting Rights and Capital-EUR.AX	en	nASX67ZmL2	2019-01-02T00:22:13.187Z	True	NP:ASX NP:ASXN	2019-01-02T00:22:13.074Z		1	NS:ASX	ASX67ZmL2_1901022ga5GHYUNsaTf5RocBmnqzVfkdGbBSAra856Si	2019-01-02T00:22:13.074Z	B:1077 B:12 B:19 B:20 B:21 B:227 B:228 B:229 B:230 E:1 E:5C E:K G:2H G:5 G:K M:1NP M:1QD M:32 M:3H M:B6 M:NU M:Z R:EUR.AX N2:ASIA N2:AU N2:AUNZ N2:BACT N2:BMAT N2:BMAT08 N2:CMPNY N2:FINE1 N2:LEN N2:MIN N2:MINE N2:MINE08 N2:MTAL N2:MTAL08 N2:MTPDF N2:NEWR N2:PREC N2:PREC08 N2:PRECAL N2:REARTH N2:REG N2:SISU P:5001181780	3	107	1	UNDEFINED		False	2	9	TS:40060100
2019-01-02T00:22:13.702Z	2019-01-02T00:22:13.768Z	2019-01-02T00:22:13.667Z	tr:ASX2yBVk3_1901022lSzewI0hUgkm2myY4qGnsgy3mIWGn8ogEdvRK	News	tr	Total Voting Rights and Capital-EUR.AX	en	nASX2yBVk3	2019-01-02T00:22:13.244Z	True	NP:ASX NP:ASXN	2019-01-02T00:22:13.083Z		1	NS:ASX	ASX2yBVk3_1901022lSzewI0hUgkm2myY4qGnsgy3mIWGn8ogEdvRK	2019-01-02T00:22:13.083Z	B:1077 B:12 B:19 B:20 B:21 B:227 B:228 B:229 B:230 E:1 E:5C E:K G:2H G:5 G:K M:1NP M:1QD M:32 M:3H M:B6 M:NU M:Z R:EUR.AX N2:ASIA N2:AU N2:AUNZ N2:BACT N2:BMAT N2:BMAT08 N2:CMPNY N2:FINE1 N2:LEN N2:MIN N2:MINE N2:MINE08 N2:MTAL N2:MTAL08 N2:MTPDF N2:NEWR N2:PREC N2:PREC08 N2:PRECAL N2:REARTH N2:REG N2:SISU P:5001181780	3	1367	1	UNDEFINED		False	12	223	TS:40060100
